연번,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도
108,영등포구,가로5-18,서울특별시 영등포구 대방천로 259,동작세무서 앞 버스중앙차로(19-013),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
109,영등포구,가로5-2,서울특별시 영등포구 대림로21길 6,대동초교 앞 버스정류장(19-266),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
110,영등포구,가로5-3,서울특별시 영등포구 대림로21길 6,대동초교 앞 버스정류장(19-266),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
111,영등포구,가로5-4,서울특별시 영등포구 대림로 191,대림3동주민센터 옆,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
112,영등포구,가로5-5,서울특별시 영등포구 대림로 191,대림3동주민센터 옆,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
113,영등포구,가로5-8,서울특별시 영등포구 신길로 39,썬프라자 앞 버스정류장(19-258),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
114,영등포구,가로5-9,서울특별시 영등포구 신길로 39,썬프라자 앞 버스정류장(19-258),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
115,영등포구,가로6-1,서울특별시 영등포구 버드나루로,"근로복지공단,서울남부지사 버스정류장(19-557)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
116,영등포구,가로6-10,서울특별시 영등포구 영중로,신화병원 버스정류장(19-121),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
117,영등포구,가로6-11,서울특별시 영등포구 영등포로,김안과병원 버스정류장(19-118),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
118,영등포구,가로6-12,서울특별시 영등포구 경인로,영등포역 버스중앙차로(19-005),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
119,영등포구,가로6-13,서울특별시 영등포구 영신로,영등포청과시장 버스정류장(19-436),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
120,영등포구,가로6-14,서울특별시 영등포구 영신로,당산신동아파밀리에 버스정류장(19-435),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
121,영등포구,가로6-15,서울특별시 영등포구 신길로,대성병원 버스정류장(19-101),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
122,영등포구,가로6-16,서울특별시 영등포구 문래로,"영일시장, 록스 버스정류장(19-588)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
123,영등포구,가로6-17,서울특별시 영등포구 문래로28길,문래주민센터 마을버스정류장(19-733),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
124,영등포구,가로6-18,서울특별시 영등포구 영등포로,당산동진로아파트 버스정류장(19-162),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
125,영등포구,가로6-19,서울특별시 영등포구 영등포로,당산동진로아파트 버스정류장(19-163),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
126,영등포구,가로6-2,서울특별시 영등포구 버드나루로,"근로복지공단,서울남부지사 버스정류장(19-578)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
127,영등포구,가로6-20,서울특별시 영등포구 양산로,영등포구청 버스정류장(19-852),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
128,영등포구,가로6-21,서울특별시 영등포구 당산로,현대아파트 버스정류장(19-302),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
129,영등포구,가로6-22,서울특별시 영등포구 문래로,문래역 버스정류장(19-193),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
130,영등포구,가로6-23,서울특별시 영등포구 경인로,문래동남성아파트 버스중앙차로(19-001),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
131,영등포구,가로6-24,서울특별시 영등포구 도림로,성락교회 버스장류장(19-234),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
132,영등포구,가로6-25,서울특별시 영등포구 도림로,신길5동주민센터 버스정류장(19-242),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
133,영등포구,가로6-26,서울특별시 영등포구 경인로,신도림역 버스중앙차로(17-001),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
134,영등포구,가로6-27,서울특별시 영등포구 신풍로,신풍역 버스정류장(19-219),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
135,영등포구,가로6-28,서울특별시 영등포구 도신로,한국방송통신대학 버스정류장(19-273),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
136,영등포구,가로6-29,서울특별시 영등포구 노들로,"양평한신아파트,선유도공원입구 버스정류장(19-216)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
137,영등포구,가로6-3,서울특별시 영등포구 영등포로,신길역 버스정류장(19-279),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
138,영등포구,가로6-30,서울특별시 영등포구 양평로22길,당산초등학교 버스정류장(19-220),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
139,영등포구,가로6-31,서울특별시 영등포구 양평로,"한신아파트, 선유도역 버스정류장(19-211)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
140,영등포구,가로6-32,서울특별시 영등포구 선유로,선유고등학교 버스정류장(28-017),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
141,영등포구,가로6-33,서울특별시 영등포구 경인로,남부지방법원등기국 버스중앙차로(19-004),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
142,영등포구,가로6-34,서울특별시 영등포구 가마산로,신길건영아파트 버스정류장(19-455),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
143,영등포구,가로6-35,서울특별시 영등포구 가마산로,대영고등학교 후문 버스정류장(19-827),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
